url	download_complete
vision.ics.uci.edu/people/29.html	complete
archive.ics.uci.edu/ml/machine-learning-databases/tic-mld/ticeval2000.txt	complete
mcs.ics.uci.edu/prospective-students/admissions-requirement	complete
sli.ics.uci.edu/Projects/DataMining	complete
www.ics.uci.edu/%7elab/labs_specs/hardware.php	complete
archive.ics.uci.edu/ml/machine-learning-databases/00268	complete
archive.ics.uci.edu/ml/machine-learning-databases/00265	complete
archive.ics.uci.edu/ml/machine-learning-databases/00266	complete
archive.ics.uci.edu/ml/datasets/Polish+companies+bankruptcy+data	complete
www.ics.uci.edu/~dechter/courses/ics-276/spring-18	complete
mailman.ics.uci.edu/mailman/subscribe/emme	complete
archive.ics.uci.edu/ml/datasets/Parkinson+Disease+Spiral+Drawings+Using+Digitized+Graphics+Tablet	complete
www.ics.uci.edu/grad/admissions/index	complete
www.ics.uci.edu/computerscience/news/news_2007.php	complete
mailman.ics.uci.edu/mailman/roster/hana-culture	complete
archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations	incomplete
mailman.ics.uci.edu/mailman/listinfo/docking	complete
archive.ics.uci.edu/ml/datasets/Qualitative+Structure+Activity+Relationships	complete
archive.ics.uci.edu/ml/datasets/News+Popularity+in+Multiple+Social+Media+Platforms	complete
www.ics.uci.edu/~dechter/publications/r201.html	complete
www.ics.uci.edu/about/annualreport/2005-06/numbers.php	complete
mailman.ics.uci.edu/mailman/admin/crick	complete
www.ics.uci.edu/~dechter/publications/r211.html	complete
graphics.ics.uci.edu	complete
vision.ics.uci.edu/papers/YarkonyF_NIPS_2015	complete
www.ics.uci.edu/~dgillen	complete
www.ics.uci.edu/~peiyunh	complete
sli.ics.uci.edu/Site/SideBar	complete
mailman.ics.uci.edu/mailman/private/informatics-phd	complete
www.ics.uci.edu/computing/windows/dropboxes/dropboxes_faq.php	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Classes-2008F%2FMLN	complete
ngs.ics.uci.edu/personal/past-affiliations	complete
vision.ics.uci.edu/papers/Ramanan_NIPS_2006	complete
wics.ics.uci.edu/wp-json	complete
mailman.ics.uci.edu/mailman/options/phd.informatics	complete
archive.ics.uci.edu/ml/machine-learning-databases/00396	complete
mailman.ics.uci.edu/mailman/admin/46-tutors	complete
www.ics.uci.edu/~dechter/publications/r240.html	complete
www.ics.uci.edu/~dechter/publications/r213.html	incomplete
sli.ics.uci.edu/Classes/2009W-Comments	complete
www.ics.uci.edu/~kobsa/courses/INF132/15S/syllabus.htm	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Code%2FMatlab-Factor	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Classes-CS178-Notes%2FMatlab-Classes	complete
dynamo.ics.uci.edu/people.html	complete
archive.ics.uci.edu/ml/machine-learning-databases/cmc	complete
mailman.ics.uci.edu/mailman/admin/statsgradpolicycommittee	complete
www.ics.uci.edu/ugrad/resources/index	complete
archive.ics.uci.edu/ml/datasets/SGEMM+GPU+kernel+performance	complete
www.ics.uci.edu/~emj/Mjolsness_CV_V67pp_files/themedata.xml	complete
www.ics.uci.edu/%7elab/proj_ics/grp_acct.php	complete
mailman.ics.uci.edu/mailman/listinfo/csjoint	complete
www.ics.uci.edu/~skong2	complete
wics.ics.uci.edu/previous-officers	complete
www.ics.uci.edu/~dechter/publications/r42.html	complete
www.ics.uci.edu/community	complete
mailman.ics.uci.edu/mailman/private/hana-culture	complete
swiki.ics.uci.edu/lib/exe/jquery.php	complete
sli.ics.uci.edu/PmWiki/WikiStyles	complete
www.ics.uci.edu/~rostami1	complete
dynamo.ics.uci.edu/docs.html	complete
sli.ics.uci.edu/Profiles/Iporteou	complete
archive.ics.uci.edu/ml/machine-learning-databases/annealing	complete
archive.ics.uci.edu/ml/datasets/citation_policy.html	complete
www.ics.uci.edu/~dechter/publications/r192.html	complete
mailman.ics.uci.edu/mailman/private/hana	complete
www.ics.uci.edu/community/news/student_blogs/index.php	complete
sprout.ics.uci.edu/past_projects/cliques/overview.html	complete
www.ics.uci.edu/%7elab/labs_specs/index.php	complete
www.ics.uci.edu/~ihler/code/event.html	complete
mailman.ics.uci.edu/mailman/private/ms.softeng	complete
www.ics.uci.edu/~shallman	complete
mailman.ics.uci.edu/mailman/private/ivecg-community	complete
www.ics.uci.edu/~perl	complete
www.ics.uci.edu/~rjammala/contact.html	complete
sli.ics.uci.edu/PmWiki/Categories	complete
www.ics.uci.edu/~ccsp	complete
mailman.ics.uci.edu/mailman/private/icsb-mjolsness-tutorial	complete
mailman.ics.uci.edu/mailman/options/quasar-l	complete
vision.ics.uci.edu/people/15.html	complete
sli.ics.uci.edu/PmWiki/Forms	complete
www.ics.uci.edu/~dechter/publications/r197.html	complete
mcs.ics.uci.edu/about/course-descriptions	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=SiteAdmin%2FSiteAdmin	incomplete
sli.ics.uci.edu/Classes/2012W-178	complete
sli.ics.uci.edu/PmWiki/SpecialCharacters	complete
www.ics.uci.edu/~dechter/publications/r119.html	complete
www.ics.uci.edu/ugrad/sao/Course_updates.php	complete
www.ics.uci.edu/~dechter/publications/r134.html	complete
www.ics.uci.edu/~jsupanci	complete
mailman.ics.uci.edu/mailman/listinfo/cwp-study	complete
www.ics.uci.edu/grad/admissions	complete
archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data	complete
mailman.ics.uci.edu/mailman/listinfo/quasar-l	complete
www.ics.uci.edu/~dechter/publications/r160.html	complete
www.ics.uci.edu/about/visit	complete
www.ics.uci.edu/~dsm/dyn/release/docs.html	complete
archive.ics.uci.edu/ml/datasets/QSAR+biodegradation	incomplete
www.ics.uci.edu/%7Echenli	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Site%2FSearch	complete
emj.ics.uci.edu/wp-includes/wlwmanifest.xml	complete
www.ics.uci.edu/about	complete
sli.ics.uci.edu/Classes/2010W-178	complete
mailman.ics.uci.edu/mailman/private/phd.softeng	complete
archive.ics.uci.edu/ml/machine-learning-databases/qsar	incomplete
www.ics.uci.edu/~dsm/dyn/release/faq.html	complete
vision.ics.uci.edu/papers/RamananB_PAMI_2011	complete
www.ics.uci.edu/%7esysarch	complete
archive.ics.uci.edu/ml/machine-learning-databases/statlog/satimage	incomplete
www.ics.uci.edu/~dechter/courses/ics-179/spring-2010	complete
vision.ics.uci.edu/papers/KongF_TR_2014	complete
archive.ics.uci.edu/ml/datasets/Sentence+Classification	incomplete
www.ics.uci.edu/~dechter/talks/radcliffe-pub.pps	complete
seal.ics.uci.edu/projects/resist/index.html	complete
mailman.ics.uci.edu/mailman/roster/blahblah	complete
mailman.ics.uci.edu/mailman/subscribe/igb-community	complete
mailman.ics.uci.edu/mailman/options/statsms	complete
www.ics.uci.edu/grad/qa	complete
www.ics.uci.edu/faculty/area/area_embedded.php	complete
sli.ics.uci.edu/Johutchi-Private/Johutchi-Private	complete
ngs.ics.uci.edu/research/research-papers/computer-vision	complete
archive.ics.uci.edu/ml/datasets/Bag+of+Words	incomplete
mailman.ics.uci.edu/mailman/listinfo/nsf-career	complete
www.ics.uci.edu/ugrad/QA_Graduation	complete
sli.ics.uci.edu/Classes/2011W-178	complete
archive.ics.uci.edu/ml/datasets/Reuters+Transcribed+Subset	incomplete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Notes%2FNIPS2009	complete
mailman.ics.uci.edu/mailman/admin/ivecg-faculty	complete
mailman.ics.uci.edu/mailman/roster/statsgradpolicycommittee	complete
sli.ics.uci.edu/Classes/2011F-171-Discussion	complete
ngs.ics.uci.edu/research/books	complete
www.ics.uci.edu/~theory/269	complete
www.ics.uci.edu/~dechter/publications/r71.html	complete
sli.ics.uci.edu/Pubs/PubsDB	complete
cml.ics.uci.edu/feed	complete
luci.ics.uci.edu/projects.html	complete
mailman.ics.uci.edu/mailman/listinfo/ics-insa	complete
sli.ics.uci.edu/PmWiki/Uploads	complete
cert.ics.uci.edu	complete
sli.ics.uci.edu/video/cs178/Lecture02.html	complete
vision.ics.uci.edu/papers/SupancicRYSR_ICCV_2015	complete
vision.ics.uci.edu/papers/Ramanan_CVPR_2007	complete
ngs.ics.uci.edu/about-ramesh/feed	complete
www.ics.uci.edu/~dechter/publications/r72.html	complete
www.ics.uci.edu/~emj/SISL_2_files/filelist.xml	complete
cml.ics.uci.edu/home/about-us	complete
archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings	incomplete
xtune.ics.uci.edu/xtune-pub.files/colorschememapping.xml	complete
www-db.ics.uci.edu/pages/research/quasar	complete
www.ics.uci.edu/about/brenhall/index.php	complete
sprout.ics.uci.edu/projects/privacy-dna	complete
archive.ics.uci.edu/ml/datasets/Machine+Learning+based+ZZAlpha+Ltd.+Stock+Recommendations+2012-2014	incomplete
sli.ics.uci.edu/Classes/2008WCS295	complete
www.ics.uci.edu/~dechter	complete
mailman.ics.uci.edu/mailman/subscribe/soar	complete
cml.ics.uci.edu/wp-json	complete
mailman.ics.uci.edu/mailman/options/csstaff	complete
www.ics.uci.edu/~dechter/acp_award.html	complete
vision.ics.uci.edu/papers/Rubel_Eurovis_2006	complete
mailman.ics.uci.edu/mailman/roster/informatics-phd	complete
mailman.ics.uci.edu/mailman/subscribe/31-tutors	complete
sherlock.ics.uci.edu/code.html	complete
www.ics.uci.edu/~dechter/publications/r115.html	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Grants%2F2008SciSIP	complete
www.ics.uci.edu/~majumder	complete
www.ics.uci.edu/ugrad/degrees/second_baccs.php	complete
www.ics.uci.edu/~dechter/publications/r52.html	complete
vision.ics.uci.edu/papers/WeberEWP_AFGR_2000	complete
www.ics.uci.edu/computing/email/google_vacation.php	complete
mailman.ics.uci.edu/mailman/admin/grad.softeng	complete
archive.ics.uci.edu/ml/machine-learning-databases/census1990-mld/USCensus1990raw.data.txt	incomplete
www.ics.uci.edu/ugrad/sao/Appts_Walk-Ins.php	complete
ngs.ics.uci.edu/professionalsocial/recognitions	complete
sprout.ics.uci.edu/projects/iarpa-app	complete
sli.ics.uci.edu/PmWiki/Installation	complete
mailman.ics.uci.edu/mailman/roster/psearch	complete
vision.ics.uci.edu/people/36.html	complete
mailman.ics.uci.edu/mailman/options/mlrg	complete
www.ics.uci.edu/computing/services/microsoft_imagine.php	complete
ngs.ics.uci.edu/personal/favorite-quotes	complete
www.ics.uci.edu/~seal/projects/deldroid/ArchManager.apk	complete
www.ics.uci.edu/community/events/openhouse/research08.html	complete
www.ics.uci.edu/computing/unix/printing.php	complete
dynamo.ics.uci.edu/demo.html	complete
mailman.ics.uci.edu/mailman/options/grad.softeng	incomplete
isg.ics.uci.edu/people.xml	complete
archive.ics.uci.edu/ml/datasets/Plants	incomplete
www.ics.uci.edu/%7Eprojects/cert/SAFIRE	complete
sli.ics.uci.edu/Ihler-Private/ToDo	complete
www.ics.uci.edu/~dechter/courses/ics-275a/fall-2010	complete
sli.ics.uci.edu/Classes-2008F/CTMSegmentation	complete
futurehealth.ics.uci.edu/wp-json/oembed/1.0/embed	complete
archive.ics.uci.edu/ml/machine-learning-databases/bridges	incomplete
mhcid.ics.uci.edu/people/mentors	complete
snekker.ics.uci.edu	complete
futurehealth.ics.uci.edu/people	complete
sli.ics.uci.edu/Classes-2008F/Main?from=Classes.2008F	complete
www.ics.uci.edu/~dechter/publications/r41.html	complete
mailman.ics.uci.edu/mailman/options/32-tutors	complete
www.ics.uci.edu/~frost	complete
www.ics.uci.edu/~lab/proj_ics	complete
www.ics.uci.edu/computerscience/grad	complete
archive.ics.uci.edu/ml/datasets/Reuters+RCV1+RCV2+Multilingual%2C+Multiview+Text+Categorization+Test+collection	incomplete
www.ics.uci.edu/about/annualreport/2006-07/index.php	complete
www.ics.uci.edu/~dvk/pub/C25_SIGMOD18_dvk.ppsx	complete
www.ics.uci.edu/~dsm/dyn/release/api/proxy_8h.html	complete
sli.ics.uci.edu/Ihler-Private/Ihler-Private	incomplete
isg.ics.uci.edu	complete
archive.ics.uci.edu/ml/datasets/Parkinsons	incomplete
sprout.ics.uci.edu/past_projects/cliques/related.html	complete
ngs.ics.uci.edu/entrepreneur	incomplete
sli.ics.uci.edu/Ihler-Private/ToDo-gtddata	complete
sprout.ics.uci.edu/past_projects/odb/index.html	complete
www.ics.uci.edu/~dechter/publications/r93.html	complete
www.ics.uci.edu/community/icsjobs	complete
vision.ics.uci.edu/people/6.html	complete
mailman.ics.uci.edu/mailman/subscribe/hana-soc-reviewers	complete
www.graphics.ics.uci.edu	complete
vision.ics.uci.edu/links.html	complete
www.ics.uci.edu/community/news/spotlight/spotlight_russell.php	complete
mailman.ics.uci.edu/mailman/private/ics6b-w08	complete
mailman.ics.uci.edu/mailman/listinfo/asterixresearch	complete
asterix.ics.uci.edu/bigactivedata	complete
www.ics.uci.edu/~eppstein	complete
archive.ics.uci.edu/ml/datasets/Musk+%28Version+1%29	incomplete
www.ics.uci.edu/%7elab/proj_ics/policy.php	complete
sli.ics.uci.edu/PmWiki/Search	complete
archive.ics.uci.edu/ml/support/Liver+Disorders	incomplete
mailman.ics.uci.edu/mailman/options/soar/hovt--at--uci.edu	complete
www.ics.uci.edu/community/news/notes/index	complete
sli.ics.uci.edu/Classes-CS271-Notes/SearchHeuristic	complete
mcs.ics.uci.edu/about/mcs-vs-mscs	complete
www.ics.uci.edu/~hinaa	complete
www.ics.uci.edu/~lab/proj_ics/grp_acct.php	complete
www.ics.uci.edu/ugrad/admissions/transfer/index.php	complete
mcs.ics.uci.edu/comments/feed	complete
vision.ics.uci.edu/papers/GehlerHW_ICML_2006	complete
www.ics.uci.edu/computing/bin/img/email/vacation	complete
www.ics.uci.edu/~ucounsel/continuing_students/cheat.html	complete
mailman.ics.uci.edu/mailman/subscribe/baldi-group	complete
vision.ics.uci.edu/papers/YarkonyZF_EMMCVPR_2015	complete
www.ics.uci.edu/community/news/notes/notes_2014.php	complete
www.ics.uci.edu/~kobsa/courses/INF231/15F/syllabus.htm	complete
archive.ics.uci.edu/ml/datasets/Moral+Reasoner	incomplete
vision.ics.uci.edu/people/34.html	complete
mhcid.ics.uci.edu/program/curriculum	complete
mailman.ics.uci.edu/mailman/roster/phd.softeng	complete
ngs.ics.uci.edu/about-ramesh/events	complete
www.ics.uci.edu/grad/courses	complete
ugradforms.ics.uci.edu	complete
www.ics.uci.edu/involved/leadership_council.php	complete
archive.ics.uci.edu/datasets/Iris	complete
archive.ics.uci.edu/ml/datasets/Primary+Tumor	incomplete
www.ics.uci.edu/render/file.act	complete
www.ics.uci.edu/~dechter/publications/r105.html	complete
mcs.ics.uci.edu/feed	complete
mailman.ics.uci.edu/mailman/listinfo/31-tutors	complete
www.ics.uci.edu/~dechter/courses/ics-175a/spring-2003	complete
mailman.ics.uci.edu/mailman/subscribe/quasar-l	complete
www.ics.uci.edu/~dechter/courses/ics-175a/spring-2000	complete
vision.ics.uci.edu/papers/YarkonyMIF_UAI_2011	complete
www.ics.uci.edu/~theory/269/index.rss	complete
mailman.ics.uci.edu/mailman/listinfo/informatics-nonstudents	complete
vision.ics.uci.edu/papers/MartinFM_PAMI_2003	complete
www.ics.uci.edu/%7Evbonsi	complete
sli.ics.uci.edu/PmWiki/PageFileFormat	complete
www.ics.uci.edu/~fowlkes	complete
www.ics.uci.edu/~seal/projects/mu_droid/index.html	incomplete
netreg.ics.uci.edu?topic=Please+log+into+system%3A++%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3B%26nbsp%3BUsing+LDAP+Authentication+with+ICS+ID+and+Password&state__=wcapp.help%2F%2F1524210849%2F%2F%2F%2F%2F%26632f0def692ba02c267932bc7947720b	complete
sli.ics.uci.edu/Code/Code	complete
ngs.ics.uci.edu/entrepreneurship/past-companies	complete
archive.ics.uci.edu/ml/datasets/Internet+Advertisements	incomplete
www.ics.uci.edu/community/news/view_news.php	complete
mailman.ics.uci.edu/mailman/roster/cmpro	complete
www.ics.uci.edu/faculty/area/area_software.php	complete
yarra.ics.uci.edu/calit2	complete
www.ics.uci.edu/~dvk/pub/GIS06_dvk_index.html	complete
mailman.ics.uci.edu/mailman/admin/cmpro	complete
www.ics.uci.edu/~projects/dissemination/scenarios.htm	complete
mailman.ics.uci.edu/mailman/roster/icsb-mjolsness-tutorial	complete
archive.ics.uci.edu/ml/machine-learning-databases/00255	incomplete
mailman.ics.uci.edu/mailman/options/ics6b-w08	complete
archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29	incomplete
emj.ics.uci.edu/2012/12	complete
www.ics.uci.edu/~sameer	complete
archive.ics.uci.edu/ml/datasets/Immunotherapy+Dataset	incomplete
www.ics.uci.edu/~dechter/publications/r165.html	complete
mcs.ics.uci.edu/career/finding-a-job-internship	complete
mailman.ics.uci.edu/mailman/options/ms.softeng	complete
www.ics.uci.edu/community/scholarships	complete
sli.ics.uci.edu/Pubs	complete
www.ics.uci.edu/~yunanc	complete
mailman.ics.uci.edu/mailman/private/quasar-l	complete
mailman.ics.uci.edu/mailman/listinfo/cmpro	complete
archive.ics.uci.edu/ml/datasets/Arrhythmia	incomplete
sprout.ics.uci.edu/projects/usec/usec.html	incomplete
mailman.ics.uci.edu/mailman/admin/ops-git-commits	complete
www.ics.uci.edu/~dechter/publications/r172.html	complete
mailman.ics.uci.edu/mailman/private/cwp-study	complete
sli.ics.uci.edu/PmWiki/WebFeeds	complete
ngs.ics.uci.edu/professionalsocial	complete
archive.ics.uci.edu/ml/datasets/Zoo	incomplete
mailman.ics.uci.edu/mailman/subscribe/isg-friends	complete
www.ics.uci.edu/%7Ekobsa/courses/ICS104/course-notes/coding-methods.htm	complete
www.ics.uci.edu/~projects/SATware/all_videos_demos.html	complete
archive.ics.uci.edu/ml/datasets/Absenteeism+at+work	complete
archive.ics.uci.edu/ml/machine-learning-databases/census1990-mld/USCensus1990.mapping.sql	incomplete
www.ics.uci.edu/ugrad/degrees/Second_BA_DS.php	complete
sli.ics.uci.edu/Projects/BP	complete
www.ics.uci.edu/~dvk/pub/SDM05_dvk.html	complete
seal.ics.uci.edu/projects/covert/appList.txt	complete
vision.ics.uci.edu/papers/FowlkesBCM_PAMI_2004	complete
vision.ics.uci.edu/papers/Sangmin_CVPR_2011	complete
www.ics.uci.edu/~dechter/courses/ics-271/fall-06	complete
www.ics.uci.edu/~dechter/publications/r92a.html	incomplete
archive.ics.uci.edu/ml/datasets/Ecoli	incomplete
www.ics.uci.edu/~zhijingq/	complete
elms.ics.uci.edu/index.php	complete
www.ics.uci.edu/community/alumni/stayconnected	complete
sli.ics.uci.edu/PmWiki/PageHistory	complete
sli.ics.uci.edu/Classes/2013S-77B	complete
www.ics.uci.edu/%7Ekobsa/courses/ICS104/course-notes/1stlevelheaders/elements-of-HCI.htm	complete
www.ics.uci.edu/~seal/projects/patdroid/Overview	complete
www.ics.uci.edu/about/search/search_external.php	complete
www.ics.uci.edu/%7elab/lab_schedule/schedules/192_files/sheet002.html	complete
satware.ics.uci.edu	incomplete
www.ics.uci.edu/~mjcarey/MJCarey_Professional_Activities.html	complete
www.ics.uci.edu/~amyvoida/Site/News_%26_Updates/News_%26_Updates.html	complete
cert.ics.uci.edu/motivation.html	complete
www.ics.uci.edu/~dechter/courses/ics-295/spring-2007	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Classes-CS178-Notes%2FProbability	incomplete
sli.ics.uci.edu/Classes/2013-iCamp	complete
archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits	incomplete
mailman.ics.uci.edu/mailman/subscribe/phd.softeng	complete
archive.ics.uci.edu/ml/datasets/wiki4HE	incomplete
www.ics.uci.edu/~dvk/CV/dvk_bio.txt	complete
www.ics.uci.edu/%7Ekobsa/courses/ICS104/course-notes/measurable-factors.htm	complete
sli.ics.uci.edu/Classes/2010W-178-Comments	complete
www.ics.uci.edu/~dvk	complete
sli.ics.uci.edu/Site/Search	complete
wics.ics.uci.edu	complete
mcs.ics.uci.edu/wp-json	complete
www.ics.uci.edu/ugrad/policies/Course_Outside_UCI	complete
archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29	incomplete
www.ics.uci.edu/faculty/www.ics.uci.edu	complete
webmail.ics.uci.edu	complete
futurehealth.ics.uci.edu/resources/videos	complete
www.ics.uci.edu/~standish	complete
archive.ics.uci.edu/ml/datasets/Motion+Capture+Hand+Postures	incomplete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Pubs%2FPubsDB	complete
mailman.ics.uci.edu/mailman/roster/mlrg	complete
mailman.ics.uci.edu/mailman/admin/hana-csw	complete
mailman.ics.uci.edu/mailman/listinfo/46-tutors	complete
archive.ics.uci.edu/ml/datasets/Eco-hotel	incomplete
www.ics.uci.edu/about/about_deanmsg.php	complete
sli.ics.uci.edu/pmwiki/pmwiki.php?n=Classes-CS178-Notes%2FLogisticReg	complete
archive.ics.uci.edu/ml/support/Economic+Sanctions	incomplete
archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat	complete
www.ics.uci.edu/community/events/openhouse/video_dedication.html	complete
seal.ics.uci.edu/projects/deldroid/index.html	complete
www.ics.uci.edu/~sharad	complete
mailman.ics.uci.edu/mailman/options/csemeritus	complete
www.ics.uci.edu/~yug10	complete
sli.ics.uci.edu/Classes-CS178-Notes/Classification	incomplete
archive.ics.uci.edu/ml/datasets/Connectionist+Bench+%28Nettalk+Corpus%29	incomplete
archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers	incomplete
mailman.ics.uci.edu/mailman/admin/isg-friends	complete
sli.ics.uci.edu/PmWiki/NonexistentPages	complete
cml.ics.uci.edu/subscribe	complete
archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity	complete
sli.ics.uci.edu/extras/components/bootstrap/fonts/glyphicons-halflings-regular.eot	complete
checkmate.ics.uci.edu	complete
